panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
1,12:02:47,30/09/24,1052,0,0,,
2,12:02:47,30/09/24,22096,0,10,-29.76,4.22
3,12:02:47,30/09/24,21428,0,6,,
1,12:23:46,30/09/24,3264,67,220,,
2,12:23:46,30/09/24,10168,203,1962,-30.00,0.00
3,12:23:46,30/09/24,9916,208,2062,,
1,12:33:44,30/09/24,5092,104,534,,
2,12:33:44,30/09/24,19432,386,7510,-30.00,0.00
3,12:33:44,30/09/24,19336,405,7848,,
1,12:43:44,30/09/24,4344,89,390,,
2,12:43:44,30/09/24,14708,293,4312,-30.00,0.00
3,12:43:44,30/09/24,14696,308,4536,,
1,12:53:44,30/09/24,2388,49,118,,
2,12:53:44,30/09/24,8536,170,1382,-29.58,16.93
3,12:53:44,30/09/24,8380,175,1474,,
1,13:03:41,30/09/24,3748,77,288,,
2,13:03:41,30/09/24,19016,378,7200,0.00,30.00
3,13:03:41,30/09/24,19572,410,8042,,
1,13:13:46,30/09/24,2760,56,158,,
2,13:13:46,30/09/24,18796,374,7042,-29.44,21.63
3,13:13:46,30/09/24,18752,393,7380,,
1,13:23:43,30/09/24,3476,72,252,,
2,13:23:43,30/09/24,19084,380,7268,-30.00,30.00
3,13:23:43,30/09/24,18900,396,7498,,
1,13:33:44,30/09/24,3884,80,312,,
2,13:33:44,30/09/24,19228,383,7372,-30.00,30.00
3,13:33:44,30/09/24,19016,399,7590,,
1,13:43:41,30/09/24,4228,86,368,,
2,13:43:41,30/09/24,18372,376,6910,0.00,0.00
3,13:43:41,30/09/24,19196,402,7736,,
1,14:33:43,30/09/24,5752,116,672,,
2,14:33:43,30/09/24,5736,114,656,0.00,30.00
3,14:33:43,30/09/24,5244,110,576,,
1,14:43:46,30/09/24,18888,386,7292,,
2,14:43:46,30/09/24,18372,366,6724,-30.00,30.00
3,14:43:46,30/09/24,15712,330,5184,,
1,14:53:44,30/09/24,7364,151,1118,,
2,14:53:44,30/09/24,6112,121,754,-30.00,60.00
3,14:53:44,30/09/24,4988,105,524,,
